Name,Surname,Function,Company,Vehicle,Weight,Height,Postal_code
Eduardo,Almeida,Administrative leader,The Royal Canadian Pancake Houses,1993 Nissan Maxima,103.8,168,
Mariana,Sousa,Administrative manager,Protean,1999 Mercedes-Benz ML,76.6,165,
Joao,Martins,Administrative manager,The Happy Bear,1999 Dodge Prowler,76.1,174,
Fernanda,Fernandes,Administrative office assistant,Asian Answers,1997 Nissan Skyline,72.4,159,
Enzo,Azevedo,Administrative office assistant,Henry's Hamburgers,2002 Chrysler PT Cruiser,71.5,182,
Ana,Araujo,Administrative office assistant,Williams Bros.,2007 Lancia Ypsilon,63,169,
Isabela,Pinto,Administrative office specialist,Atlas Realty,2002 Land Rover Freelander,96.3,156,
Guilherme,Goncalves,Administrative office specialist,Chess King,2008 Daewoo Nubira,74.7,175,
Gabrielle,Melo,Administrative office specialist,Manning's Cafeterias,1998 Oldsmobile Cutlass,93.4,170,
Clara,Ribeiro,Administrative officer,Pup 'N' Taco,1994 Oldsmobile Aurora,63.8,169,
Leonardo,Rodrigues,Administrative professional,Good Guys,2007 Ford Expedition,96,179,27.211-490
Evelyn,Martins,Administrative professional,Macroserve,2004 Mercedes-Benz C,60.7,153,
Joao,Correia,Administrative project coordinator,Megatronic,1998 Rover 600,96.4,173,
Matilde,Oliveira,Administrative project coordinator,Pender's Food Stores,1996 Nissan Laurel,96.8,158,
Nicole,Martins,Administrative services manager,Integra Investment Service,2007 Volvo XC90,101.1,160,
Julia,Silva,Administrative services manager,Play Town,2011 Maserati GranTurismo,51.7,162,
Andre,Gomes,Administrative services manager,Stop and Shop,2010 Infiniti EX,78.8,174,
Jose,Alves,Administrative supervisor,Lum's,2012 Hyundai H1,90.8,180,
Nicole,Fernandes,Administrative supervisor,Plan Future,2009 Daewoo Tocsa,51.7,159,
Clara,Souza,Administrative support services director,Sears Homelife,2011 Daihatsu Terios,68.9,169,
Thiago,Cunha,Administrative technician,Millenia Life,1995 Infiniti J30,108.3,168,
Miguel,Goncalves,Administrative worker supervisor,Best Products,1999 Dodge Caravan,75,180,
Gustavo,Sousa,Administrative worker supervisor,Music Plus,2015 Infiniti QX70,68.1,183,
Martim,Castro,Administrative worker supervisor,Pacific Stereo,2005 Bristol Fighter,95.9,174,
Leila,Pereira,Administrative worker supervisor,Weathervane,2001 Mitsubishi L 200,96.5,171,
Raissa,Oliveira,Administrator,Netcom Business Services,2006 Audi Allroad,75.5,171,
Fabio,Gomes,Adult basic education teacher,Garden Guru,2007 Mercedes-Benz SLK,72.6,184,
Vinicius,Azevedo,Adult basic education teacher,Pacific Stereo,2006 Mazda 5,81.8,176,
Matheus,Rocha,Adult secondary education teacher,Heslop's,2002 Mazda 626,84.2,189,
Kaua,Oliveira,Adult secondary education teacher,Oklahoma Tire & Supply Company,2009 Suzuki Alto,109.2,185,
Lavinia,Souza,Adult secondary education teacher,Soul Sounds Unlimited,2000 Smart ForFour,73.5,165,
Rafael,Rocha,Advisor investigator,Adapt,2003 Tata E,78,186,
Otavio,Ribeiro,Aerobics instructor,Avant Garde Appraisal,1993 Chrysler Daytona,91.3,174,
Danilo,Araujo,Aerobics instructor,Stratabiz,2005 Bugatti Chiron,102.1,180,
Sophia,Ribeiro,Aeronautical drafter,Adray,1998 Abarth Stola,92.1,172,
Bruno,Sousa,Aeronautical drafter,Ellman's Catalog Showrooms,1993 Zastava 65,69,185,
Kauan,Costa,Aeronautical drafter,Fresh Start,2009 Land Rover Defender,76.8,165,
Jalia,Ribeiro,Aeronautical engineer,Plan Smart Partner,2002 MCC ForTwo,81.6,156,
Bruna,Ferreira,Aerospace engineer,Kinney Shoes,2009 Jaguar XF,56.7,171,
Vitoria,Fernandes,Aerospace engineer,Yardbirds Home Center,1998 Nissan Stagea,102.2,159,
Nicolas,Cavalcanti,Affirmative action coordinator,HouseWorks!,1996 Peugeot Touareg,71.6,182,
Felipe,Ferreira,Agricultural and food scientist,Stratapro,2008 Daewoo Evanda,98.5,177,30.610-520
Vinicius,Sousa,Agricultural inspector,Funtown toys,1999 Bugatti Chiron,101,177,
Jalio,Lima,Agricultural manager,Laneco,2002 Opel Concept M,73.9,182,
Leonor,Dias,Agricultural product grader,Kragen Auto Parts,2006 Toyota Ractis,70.2,153,
Vitor,Pereira,Agricultural worker,Coconut's,2007 Subaru Justy,113.7,186,
Carla,Martins,Agricultural worker,I. Magnin,2004 Kia Pregio,106.2,163,
Maria,Azevedo,Agricultural worker,Rickel,1997 Audi A8,86.9,160,
Miguel,Correia,Agronomist,Listenin' Booth,2001 Ford Fiesta,108,181,
Rodrigo,Barros,Air Force,Laughner's Cafeteria,2009 Pontiac G3,73.3,173,
Luiza,Silva,Air Force,The Flying Hippo ,2002 Kia Towner,52.8,167,
Luan,Ferreira,Air traffic controller,Today's Man,1998 Ginetta G27,65.7,172,
Marisa,Castro,Aircraft electrician,Checker Auto Parts,2011 Jeep Liberty,48.2,158,
Guilherme,Alves,Aircraft electrician,Luria's,2001 Kia Pride Wagon,109.9,167,
Luiza,Cardoso,Aircraft electrician,Ukrop's Super Market,2002 Alpina B3,89.9,154,
Larissa,Lima,Aircraft electronic systems specialist,Karl's Shoes,2015 BMW 4 Series Gran Coupe,99.5,169,
Caua,Correia,Aircraft electronics technician,"10,000 Auto Parts",1999 Honda Odyssey,106,181,
Mateus,Pinto,Aircraft electronics technician,LaBelle's,2004 Daihatsu Altis,71.4,182,
Caua,Araujo,Aircraft electronics technician,Licorice Pizza,1997 Honda Civic,94.9,179,
Marisa,Ferreira,Aircraft flight engineer,Twin Electronics,2003 Kia Visto,69.8,154,
Matilde,Araujo,Aircraft pilot,Crown Auto Parts,2000 Renault Clio,73.8,169,13.185-141
Fernanda,Ribeiro,Aircraft pilot,Food Fair,2000 Land Rover Range Rover,55.5,164,
Amanda,Pereira,Aircraft rigging assembler,Harvest Foods,1998 Toyota Camry,75.5,166,
Leila,Carvalho,Aircraft structure assembler,Adaptaz,1999 Chevrolet Suburban,95.1,152,
Antonio,Ferreira,Aircraft structure assembler,National Tea,2005 Toyota Land Cruiser,85.6,168,
Kauan,Carvalho,Aircraft systems assembler,Erlebacher's,2015 Chevrolet Camaro,115.1,184,
Brenda,Alves,Airfield operations specialist,Pleasures and Pasttimes,2002 Mahindra CL,74.3,168,31.150-640
Gustavo,Costa,Airframe mechanic,Pup 'N' Taco,2010 BMW 650,110.7,178,
Renan,Ferreira,Airframe mechanic,Red Owl,2001 Mazda CU-X,63.5,168,
Nicolash,Barros,Airline copilots,Gas Legion,1995 Hyundai Lantra,94.3,178,
Thiago,Cardoso,Airline copilots,Knox Lumber,1996 Suzuki Cappuccino,65.8,169,
Nicolash,Melo,Airline flight engineer,Netobill,2001 Toyota Bandeirante,69.4,174,
Danilo,Goncalves,Airline steward,Pergament Home Centers,2004 Saab 9-3,79.2,178,
Evelyn,Araujo,Airline steward,"Sounds Great, Inc",1993 TVR Chimaera,74.6,155,
Pedro,Cardoso,Airman,House Of Denmark,1998 Alfa Romeo Spider,104.2,185,
Martim,Costa,Airman,O.K. Fairbanks,1996 Ford Fiesta,106.8,190,
Emilly,Azevedo,Airport service agent,ABC Markets,1997 Nissan Rasheen,66.6,161,
Davi,Souza,Airport terminal controller,Mostow Co.,2009 SsangYong Rodius,58.2,181,
Emilly,Sousa,Airport tower controller,Dahlkemper's,2012 Volvo XC60,59.8,152,
Thais,Melo,Airport tower controller,Highland Appliance,1996 Dodge Stealth,98.2,153,
Danilo,Ferreira,Airport tower controller,Huffman and Boyle,2003 Mercedes-Benz SL,92.8,177,
Luiza,Silva,Allopathic physician,Keeney's,2000 Renault Safrane,75.4,154,
Kauan,Rocha,Allopathic surgeon,Crandall's Fine Furniture,2012 Nissan Xterra,87.5,183,
Sofia,Almeida,Allopathic surgeon,Reliable Garden Management,1999 Volvo V40,72.2,161,
Ana,Azevedo,Ambulance attendant,Pergament Home Centers,1996 Xedos 6,48.6,172,
Eduardo,Pinto,Ambulance dispatcher,Sunflower Market,2002 Oldsmobile Intrigue,93,183,
Bruno,Pinto,Ambulatory care nurse,Buck Alley Lumber,1995 Chrysler Atlantic,105.8,174,
Eduarda,Pereira,Ambulatory care nurse,Buena Vista Garden Maintenance,2000 Kia Joice,97,167,
Emily,Oliveira,Ambulatory care nurse,Woolf Brothers,2006 Volkswagen Sharan,80.4,163,
Alice,Costa,Amusement and recreation attendant,Cuppy's Coffee,1999 Audi A3,64.6,168,
Danilo,Cavalcanti,Amusement machine servicer,Omni Superstore,2005 Panoz AIV,59.4,168,
Guilherme,Dias,Anchor,Independent Wealth Management,2000 Lotec C 1000,94.6,170,
Emily,Rodrigues,Anchor,Morville,2012 BMW 730,66,160,
Julieta,Santos,Anesthesiologist,Roadhouse Grill,1997 Ford Taurus,53.2,160,
Alice,Alves,Animal breeder,Federated Group,1998 Bentley Turbo,104.8,159,
Danilo,Azevedo,Animal care and service worker,Crandall's Fine Furniture,2011 Mercedes-Benz CL,97.8,177,
Felipe,Ribeiro,Animal care and service worker,Murray's Discount Auto Stores,1996 Ferrari 550,80.5,176,
Caua,Pinto,Animal control officer,Just For Fun,2007 Rolls-Royce Phantom,64.7,174,
Bruna,Gomes,Animal control officer,Techo Solutions,2010 Honda Legend,76.6,166,
Guilherme,Ribeiro,Animal control worker,Rogers Food Stores,1995 Jaguar XJ220,76,167,
Isabelle,Rocha,Animal trainer,L.L. Berger,2014 Toyota Tacoma,96.6,151,
Julieta,Pinto,Animator,Grossman's,1996 Chrysler Neon,60.2,158,
Manuela,Rodrigues,Anthropologist,Oranges Records & Tapes,2011 SsangYong Rexton,60.4,162,
Marisa,Ribeiro,Anthropologist,Standard Food,2001 Opel Meriva,97.5,165,
Antonio,Pereira,Apartment leasing agent,Omni Tech,1993 Ford Explorer,69.8,164,
Bruno,Rodrigues,Apartment leasing agent,Road Runner Lawn Services,2014 Chrysler Town and Country,85,172,
Eduardo,Carvalho,Apartment leasing agent,Sav-A-Center,1992 Mazda MX-6,92.5,182,
Rebeca,Ribeiro,Apartment leasing agent,Security Sporting Goods,2005 Kia Optima,60.5,174,
Caua,Dias,Apartment leasing agent,Sunburst Garden Management,2007 Land Rover Range Rover Sport,97.7,175,
Victor,Silva,Apartment manager,Suncoast Video,2009 Chrysler Aspen,112.4,183,
Estevan,Cavalcanti,Apartment rental agent,Practi-Plan,2008 Dodge Caliber,100.7,171,
Lucas,Souza,Apparel worker,Adaptas,1998 Ford Escort,82.6,182,
Daniel,Barros,Apparel worker,Complete Tech,2010 Kia Sportage,73.1,173,
Thiago,Barros,Appellate court judge,Flexus,1992 Chevrolet Cavalier,74.3,185,
Kaua,Dias,Appellate court judge,ManPower,2010 Hyundai i30,68.9,170,
Enzo,Cavalcanti,Appellate court judge,Omni Superstore,2000 Ford Excursion,85,175,
Joao,Barbosa,Appellate court judge,PriceRite Warehouse Club,1995 Buick LeSabre,65.9,182,
Paulo,Cavalcanti,Applications programmer,A.J. August Fashion Wear,2001 Infiniti I,106.3,170,
Clara,Cardoso,Applications programmer,Helios Air,2005 BMW 330,62.5,159,
Danilo,Martins,Applications programmer,Muirhead's,2001 Volvo V70,85.4,170,
Tomas,Melo,Applications programmer,One-Up Realtors,2007 Buick Rainier,76.1,178,
Kaua,Oliveira,Applied mathematician,ABCO Foods,1992 Donkervoort S8,85.6,169,
Nicolas,Silva,Appraiser,Bountiful Harvest Health Food Store,2002 Jeep Liberty,75,176,
Ana,Melo,Arbitrator,Chargepal,2009 Mazda Tribute,55.3,168,
Isabelle,Castro,Arbitrator,Gov Mart,1998 Isuzu Trooper,96.9,155,
Joao,Carvalho,Arbitrator,Life's Gold,1994 Mercury Mystique,66.2,166,
Breno,Fernandes,Arborist,Food Mart,2002 Daewoo Evanda,59,179,09.782-130
Kauan,Sousa,Archaeologist,Foreman & Clark,2009 Mercedes-Benz CLK,87.4,173,
Thiago,Martins,Archaeologist,Gamma Gas,2012 Ford E-350,100.3,187,
Davi,Cavalcanti,Archaeologist,Pro-Care Garden Maintenance,1997 Ford Versailles,95.8,176,
Alice,Sousa,Architect,Omni Tech,1994 Daewoo Prince,82.2,167,
Sofia,Azevedo,Architect,Rolling Thunder,1993 Lotus Elan,92.1,166,35.501-245
Carlos,Correia,Architectural drafter,Nobil,2010 Holden Colorado,72.7,186,
Vitoria,Castro,Archivist,Naturohair,1999 Pontiac Sunfire,76.3,172,
Rafael,Araujo,Archivist,TheBottomHalf,2006 Citroen C4,65.6,181,
Danilo,Souza,Armed Forces,Vitagee,2005 Volkswagen Passat,66.5,173,
Brenda,Silva,Armored car guard,Ardan's,2010 Tesla Roadster,89,157,
Julian,Cardoso,Armored car guard,Life Plan Counselling,2002 Toyota Ipsum,99.3,183,
Thiago,Sousa,Army,Brilliant Home Designs,2010 Audi A1,105.3,187,
Luana,Barros,Army,Matrix Interior Design,2007 Renault Logan,85.4,175,
Erick,Souza,Army,Netaid,1995 Volkswagen Passat,104.3,175,
Mariana,Melo,Art director,Tam's Stationers,2003 Mazda Demio,92.8,168,
Yasmin,Rocha,Artist,Wise Appraisals,2008 Scion tC,84.8,165,
Kauan,Souza,Asbestos abatement worker,Father & Son,2004 Volvo V70,90.4,183,
Luis,Cardoso,ASE teacher,Adaptabiz,1995 Acura Integra,74.1,163,
Gabrielle,Araujo,ASE teacher,Strawberries,2003 Dodge Kahuna,88.8,153,
Murilo,Ribeiro,ASE teacher,"Wholesale Club, Inc.",2002 Peugeot RC,62.4,167,
Alice,Dias,Asphalt paving machine operator,Cherry & Webb,1998 Fiat Scudo,49.4,163,
Maria,Costa,Assembler,Dynatronics Accessories,2011 Lexus ES,88.7,169,
Evelyn,Araujo,Assembler,McDade's,1994 Holden Barina,50,168,
Murilo,Dias,Asset property manager,One-Up Realtors,2009 Cadillac STS-V,92,189,
Manuela,Pereira,Assistant editor,Museum Company,2012 Hyundai Grandeur,58.8,174,
Julia,Cardoso,Assistant manager,Full Color,2007 Toyota Yaris,90.1,153,
Leonor,Barbosa,Assistant manager,Peaches,2011 Lincoln Town Car,87.9,152,
Aline,Melo,Assistant manager,Zephyr Investments,2011 Rolls-Royce Phantom Drophead Coupe,87.9,163,
Eduardo,Azevedo,Assistant principal,William Wanamaker & Sons,1995 Ford Mondeo,84,167,
Amanda,Ferreira,Assistant property manager,Dave Cooks,2015 Audi S8,81.3,154,
Leonor,Sousa,Assistant property manager,Pantry Food Stores,1997 Daewoo Joyster,83.9,163,
Larissa,Correia,Assistant property manager,Town and Country Convenience Stores,2000 Mazda 121,81.6,169,11.350-320
Vitoria,Azevedo,Athletic director,Music Boutique,1996 Opel Vectra,74.4,168,
Leonor,Dias,Athletic director,Thompson,2010 Hyundai i10,67.2,152,02.281-090
Eduardo,Castro,Athletic trainer,China Coast,1997 Honda Shuttle,86.3,184,
Arthur,Cavalcanti,Athletic trainer,Hechinger,2003 Ascari KZ1,71.4,168,
Thais,Silva,Athletic trainer,Realty Depot,2011 Fiat Ducato,88.4,154,
Carlos,Cunha,Atmospheric scientist,Morville,2012 Tata Sumo,79.1,184,
Camila,Dias,Atmospheric scientist,Quest Technology Service,2006 Lada 2110,74.8,173,
Beatriz,Dias,Atmospheric scientist,Record Town,2007 Mazda B3000,71.4,168,
Murilo,Pereira,Attorney,Four Leaf Clover,2005 Ford F-150,74.8,167,
Victor,Gomes,Audio and video equipment operator,Pantry Food Stores,2012 Mazda 5,70.5,186,
Julian,Pinto,Audio control engineer,Chase Pitkin,2004 Daewoo Lacetti,68.4,183,
Sophia,Araujo,Audio control engineer,Oklahoma Tire & Supply Company,1995 Lada Niva,90.7,172,
Estevan,Sousa,Audio control engineer,Simple Solutions,2005 Nissan Xterra,83.2,164,
Andre,Souza,Audio control engineer,Thrift Auto Parts,2007 Aston Martin V8 Vantage,94.5,187,
Antonio,Cavalcanti,Audiologist,"Deco Refreshments, Inc.",1996 Alfa Romeo 155,66.1,183,
Gabrielle,Barbosa,Audiologist,Odyssey Records & Tapes,2001 TVR Cerbera,76,161,
Guilherme,Sousa,Audio-visual collections specialist,Al's Auto Parts,2011 Tata Indica,72.3,173,
Vitoria,Melo,Audio-visual collections specialist,The Independent Planners,2006 Lexus LS,65.7,166,
Julieta,Costa,Author,Liberty Wealth Planner,2007 Pontiac G5,92,167,
Nicole,Silva,Auto damage appraiser,County Seat,2011 Holden Commodore,80.5,161,
Nicolash,Fernandes,Auto damage appraiser,Datacorp,2003 Chrysler 300,81.1,177,
Martim,Dias,Automated teller machine technician,Carl Durfees,2008 Toyota iQ,104.8,170,
Maria,Correia,Automated teller machine technician,Scotty's Builders Supply,1996 Lexus ES,61.9,160,
Vitoria,Silva,Automation and control technician,Forth & Towne,2004 Daewoo Rezzo,85.6,161,
Gustavo,Araujo,Automation and control technician,Magna Wealth,1998 Westfield ZEI,63,178,
Julieta,Carvalho,Automation and control technician,Strongbod,2004 BMW X5,100.3,167,
Carlos,Almeida,Automotive body and related repairer,Practi-Plan Mapping,1999 Daihatsu Terios,105.7,176,
Kaua,Fernandes,Automotive body repairer,Rogersound Labs,2005 Mazda 3,105,172,
Joao,Ferreira,Automotive engineer,Matrix Interior Design,1992 Cadillac Seville,98.7,170,
Marcos,Ribeiro,Automotive engineer,National Lumber,2008 Nissan Quest,73.2,179,
Marcos,Ferreira,Automotive glass repairer,Bold Ideas,2010 Kia Rio,89.3,174,
Kai,Carvalho,Automotive glass repairer,J. Brannam,2004 SsangYong Korando,101.3,180,
Marisa,Silva,Automotive mechanic,All Wound Up,2008 Mercury Milan,52.5,162,
Gabriel,Cunha,Automotive mechanic,Desmonds Formal Wear,2011 Nissan Pathfinder,92.4,177,
Alex,Ferreira,Automotive painter,Strength Gurus,2007 Ford Ranger,67.2,169,
Erick,Almeida,Automotive service technician,Glicks Furniture,2002 Chevrolet Camaro,93.7,182,
Rafael,Azevedo,Automotive service technician,Muscle Factory,2010 Mazda CX-9,67.4,187,
Evelyn,Dias,Automotive service technician,Red Food,2009 Land Rover LR2,67.5,159,
Brenda,Pereira,Auxiliary equipment operator,Avant Garde Appraisal Group,2003 Buick Centieme,75.6,155,
Leticia,Cavalcanti,Auxiliary equipment operator,Consumers and Consumers Express,2011 Ford Taurus,99.6,165,
Clara,Barbosa,Auxiliary equipment operator,Play Town,1992 Ford Thunderbird,57.2,163,
Luiz,Pinto,Avionics technician,Children's Palace,2008 MG ZT-T,85.5,176,35.501-063
Tomas,Carvalho,Avionics technician,Superior Appraisals,2000 Volkswagen Fusca,105.6,167,
Luan,Ribeiro,Babysitter,Practi-Plan Mapping,2011 Lincoln MKX,104.9,173,
Sophia,Cardoso,Baggage porter,House Of Denmark,2007 Toyota Prius,55.9,169,
Daniel,Pinto,Baggage porter,Quickbiz,2000 Volkswagen Fusca,72.1,181,
Julia,Gomes,Baggage porter,"Warehouse Club, Inc.",1999 Honda NSX,92.4,170,
Larissa,Ferreira,Bailiff,Club Wholesale,2005 Honda Inspire,101.4,161,
Nicolash,Pereira,Bailiff,Twin Food Stores,2003 Lamborghini Gallardo,99.7,174,
Otavio,Ferreira,Baker,ABC Markets,1992 Opel Monterey,115.4,176,
Rebeca,Goncalves,Ballet master,Sunburst Garden Management,1996 Toyota Mega Cruiser,74.7,166,
Vitor,Silva,Banker investigator,Silverwoods,1996 Nissan Crew,90.2,180,
Sofia,Ribeiro,Banquet manager,Square Circle,2004 Subaru Baja,57.2,157,
Emily,Pinto,Bartender,Klopfenstein's,2003 Jaguar R Coupe,60.8,159,
Renan,Martins,Bartender,Super Place,2003 Chrysler Neon,62.2,180,
Carolina,Santos,Bartender,Terra Nova Garden Services,2006 Renault Modus,60.3,158,69.908-760
Caio,Azevedo,Bartender helper,Brilliant Home Designs,2015 Rolls-Royce Phantom Coupe,62.2,169,
Leonor,Costa,Bartender helper,Play Town,2004 Nissan Primera,85.4,163,
Agatha,Gomes,Beauty care specialist,Cala Foods,2005 Saab 9-7X,92.3,162,
Vinicius,Lima,Beauty care specialist,Datacorp,2007 BMW 630,66.2,186,
Caio,Araujo,Beauty care specialist,Sound Warehouse,2002 Mercedes-Benz SLK,89.6,189,32141-128
Gabriela,Carvalho,Behavioral disorder counselor,Cut Rite Lawn Care,1997 Maserati Shamal,94.2,162,
Paulo,Almeida,Behavioral disorder counselor,Rex Audio Video Appliance,2005 Daewoo Chairman,60.8,168,
Gabriel,Silva,Bellhop,De Pinna,2009 Land Rover Range Rover Sport,112.4,170,
Kauan,Ribeiro,Bench jeweler,Magna Architectural Design,2004 Fiat Punto,74.8,177,
Emilly,Cavalcanti,Bench technician,Wellby,2008 Kia Magentis,74.4,156,75.911-010
Jalia,Silva,Benefits clerk,York Steak House,1993 Volkswagen Caravelle,55.2,163,
Leticia,Cardoso,Benefits director,Kohl's Food Stores,2004 Jeep Liberty,64.2,153,
Leonor,Goncalves,Benefits manager,Pleasures and Pasttimes,1995 Nissan Crew,97.6,171,
Murilo,Lima,Bibliographer,Pro Garden Management,1995 Daihatsu Applause,114,174,
Jalio,Cavalcanti,Bill and account collector,Parts and Pieces,2005 Mahindra CL,66.9,180,
Joao,Sousa,Billing and posting clerk,Best Products,2005 Proton 300,72.5,177,
Rodrigo,Martins,Billing and posting clerk,Ernst Home Centers,2011 Suzuki Jimny,103.7,184,
Julian,Ferreira,Billing and posting clerk,Packer,2008 Renault Grand Espace,78.1,179,
Manuela,Sousa,Billing and posting machine operator,Al's Auto Parts,2010 Lincoln Town Car,56.6,168,
Eduardo,Santos,Billing and posting machine operator,Janeville,2006 Cadillac SRX,97.9,176,31.365-260
Matilde,Cunha,Billing clerk,,2011 SSC Ultimate Aero,76.6,164,
Ana,Rocha,Billing clerk,Jitney Jungle,2000 TVR Speed 12,55.8,167,
Matheus,Cardoso,Billing machine operator,Future Bright,2001 Opel Signum,86.9,181,
Estevan,Martins,Bindery machine operator,Plunkett Home Furnishings,2004 Mazda B2500,81.9,173,30.720-420
Sophia,Ferreira,Bindery machine operator,Wheels Discount Auto,2003 Subaru Baja,50.7,168,
Breno,Rocha,Bindery machine tender,Formula Grey,2012 Citroen C6,60.1,178,
Diego,Almeida,Bindery worker,Asiatic Solutions,2005 BMW 630,102.9,167,
Brenda,Costa,Biochemist,Kohl's Food Stores,2005 Jeep Grand Cherokee,55,163,
Daniel,Dias,Biochemist,Wag's,1995 Mazda RX-7,98,182,
Sophia,Azevedo,Biological scientist,Seamans Furniture,1998 Daihatsu Mira,99.4,154,
Kaua,Carvalho,Biological technician,Ernst Home Centers,1995 Seat Toledo,105.2,169,
Agatha,Correia,Biometrician,Patterson-Fletcher,2001 Honda Life,65.5,167,
Anna,Santos,Biometrician,Prestiga-Biz,2008 Volkswagen Rabbit,56.6,165,
Carolina,Santos,Biophysicist,Grade A Investment,2004 Saleen S7,76.2,154,
Raissa,Gomes,Blankbook binding worker,Monmax,1998 TVR 7,67.5,158,
Miguel,Araujo,Blaster,Wealth Zone Group,2010 Suzuki SX4,86.8,174,
Guilherme,Cavalcanti,Blockmason,Gas Legion,2010 Chevrolet Traverse,99.9,171,
Vitoria,Ferreira,Blockmason,Handy City,1997 Dodge Avenger,66,160,
Leonor,Souza,Blockmason,Simply Save,1994 Vauxhall Calibra,47.6,173,01.550-050
Rodrigo,Alves,Blood bank technologist,Adaptaz,2007 Isuzu I-350,68.9,163,
Giovana,Souza,Boat operator,Country Club Markets,1997 Ford Escort,70.1,155,
Nicolash,Barbosa,Boatswain,Environ Architectural Design,1996 Mercedes-Benz G,76.2,176,
Maria,Alves,Boiler operator,Future Bright,1993 Bristol Beaufighter,82,157,
Rodrigo,Costa,Boiler operator,PriceRite Warehouse Club,2001 Acura RSX,84.7,177,
Vitor,Ferreira,Boilermaker,Network Air,2003 Volvo V50,87.2,177,
Ana,Costa,Boilermaker,The Pink Pig Tavern,1997 Nissan Maxima,68.6,173,
Clara,Barros,Bonus clerk,Hugh M. Woods,1993 Holden Barina,81.8,152,
Miguel,Cardoso,Bonus clerk,McMahan's Furniture,2008 Hyundai Sonata,66.1,166,
Raissa,Barros,Bookkeeper,Angel's,1995 Mercedes-Benz SLK,56,167,
Carlos,Cavalcanti,Bookkeeper,Country Club Markets,1997 BMW S3,100.6,190,
Melissa,Costa,Bookkeeper,Dream Home Real Estate Service,1992 Infiniti J30,58.9,169,
Kaua,Ribeiro,Bookkeeping clerk,House Works,2002 BMW 520,68,180,
Laura,Correia,Bookkeeping clerk,Walt's IGA,1993 Oldsmobile Bravada,49.9,167,
Yasmin,Martins,Booth cashier,Paper Cutter,2005 Acura RL,76.1,165,
Diogo,Melo,Border Patrol agent,Witmark,2000 Jaguar XK,73.7,189,
Camila,Castro,Brace maker,MacMarr Stores,2006 BMW 630,48.4,157,
Mateus,Almeida,Braille clerk,AJ Bayless,1992 Chrysler Daytona,88,170,
Enzo,Castro,Braille clerk,Rolling Thunder,1999 Noble M10,81.1,187,
Clara,Silva,Braille clerk,The Independent Planners,1998 Isuzu VX-02,87.5,155,
Nicolas,Almeida,Brazing worker,Bombay Company,2000 Mitsubishi Lancer,78.8,181,
Leticia,Costa,Brazing worker,Great Western,1997 Mazda Carol,74.9,155,
Nicole,Rodrigues,Brazing worker,Wells & Wade,2002 Hyundai Dynasty,54.6,171,
Maria,Pereira,Brickmason,Gamma Realty,2010 Koenigsegg CCXR,72.8,172,
Matilde,Barros,Broadcast captioner,Integra Wealth Planners,2000 BMW 330,59.5,164,
Lara,Castro,Broadcast field supervisor,Atlas Realty,1997 SsangYong Korando,100.3,164,
